Date,Sort Order,Account,Merchant Name,Amount,Running Balance,Category
10/24/2024,1511,Primary Checkings - 3102,TikTok Shop TikTo 10/22 PURCHASE XXXXX40896 CA,-$10.66,$1349.30,
10/24/2024,1512,Primary Checkings - 3102,GRAND TAVERN 10/22 PURCHASE ROCHESTER HIL MI,-$27.79,$1321.51,
10/24/2024,1513,Primary Checkings - 3102,AMAZON MKTPL*OL53 10/23 PURCHASE XXXXX61072 WA,-$25.43,$1296.08,
10/24/2024,1514,Primary Checkings - 3102,CONSUMERS ENERGY DES:ENERGYBILL ID:XXXXX0126422 INDN:Kenneth Mead CO ID:XXXXX42310 WEB,-$25.06,$1271.02,
10/24/2024,1515,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 10/24/24,-$1.12,$1269.90,
10/25/2024,1516,Primary Checkings - 3102,UNIVERSAL MANAGE DES:PAYROLL ID:XXXXXXXXXX3305 INDN:KENNETH MEAD CO ID:XXXXX13688 PPD,$1408.88,$2678.78,
10/25/2024,1517,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX35561,-$125.00,$2553.78,
10/25/2024,1518,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX35562,-$125.00,$2428.78,
10/25/2024,1519,Primary Checkings - 3102,Online scheduled transfer to SAV 9875 Confirmation# XXXXX35565,-$125.00,$2303.78,
10/25/2024,1520,Primary Checkings - 3102,Online scheduled transfer to SAV 7344 Confirmation# XXXXX35564,-$50.00,$2253.78,
10/25/2024,1521,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX35563,-$20.00,$2233.78,
10/28/2024,1522,Primary Checkings - 3102,Online Banking transfer from CHK 7139 Confirmation# XXXXX13507,$800.00,$3033.78,
10/28/2024,1523,Primary Checkings - 3102,APPLE.COM/BILL 10/25 PURCHASE XXXXX27753 CA,-$1.05,$3032.73,
10/28/2024,1524,Primary Checkings - 3102,NNT THE 8 SIDE 10/26 PURCHASE LINCOLN PARK MI,-$21.20,$3011.53,
10/28/2024,1525,Primary Checkings - 3102,DD/BR #360456 Q35 10/26 PURCHASE LINCOLN PARK MI,-$5.50,$3006.03,
10/28/2024,1526,Primary Checkings - 3102,WL *STEAM PURCHAS 10/26 PURCHASE XXXXX99642 WA,-$25.00,$2981.03,
10/28/2024,1527,Primary Checkings - 3102,Meijer Express 10/28 PURCHASE WARREN MI,-$41.27,$2939.76,
10/28/2024,1528,Primary Checkings - 3102,GM Financial DES:GMF Pymt ID:XXXXX6521024 INDN:KENNETH MEAD CO ID:IXXXXX0781 PPD,-$540.99,$2398.77,
10/28/2024,1529,Primary Checkings - 3102,DEPT EDUCATION DES:STUDENT LN ID:0000 INDN:KENNETH MEAD CO ID:XXXXX02505 PPD,-$260.38,$2138.39,
10/28/2024,1530,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 10/28/24,-$2.98,$2135.41,
10/29/2024,1531,Primary Checkings - 3102,TIKTOK SHOP 10/29 REFUND XXXXX40896 CA,$10.78,$2146.19,
10/29/2024,1532,Primary Checkings - 3102,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Kenneth Mead CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXMTI64S3V4VGPF\RMR*IK*etsy .com\",$0.35,$2146.54,
10/29/2024,1533,Primary Checkings - 3102,AMAZON MKTPL*592F 10/28 PURCHASE XXXXX61072 WA,-$10.59,$2135.95,
10/29/2024,1534,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 10/29/24,-$0.41,$2135.54,
10/30/2024,1535,Primary Checkings - 3102,WL *STEAM PURCHAS 10/26 PURCHASE XXXXX22985 WA,-$10.00,$2125.54,
10/30/2024,1536,Primary Checkings - 3102,WL *STEAM PURCHAS 10/26 PURCHASE XXXXX22985 WA,-$1.99,$2123.55,
10/30/2024,1537,Primary Checkings - 3102,GRAND TAVERN 10/29 PURCHASE ROCHESTER HIL MI,-$37.33,$2086.22,
10/30/2024,1538,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 10/30/24,-$0.68,$2085.54,
10/31/2024,1539,Primary Checkings - 3102,Online Banking transfer from SAV 9875 Confirmation# XXXXX58990,$600.00,$2685.54,
11/1/2024,1540,Primary Checkings - 3102,UNIVERSAL MANAGE DES:PAYROLL ID:XXXXXXXXXX3305 INDN:KENNETH MEAD CO ID:XXXXX13688 PPD,$1408.88,$4094.42,
11/1/2024,1541,Primary Checkings - 3102,TRANSFER KENNETH MEAD:Sarah Mead Confirmation# XXXXX37848,-$47.00,$4047.42,
11/1/2024,1542,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX42102,-$125.00,$3922.42,
11/1/2024,1543,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX42103,-$125.00,$3797.42,
11/1/2024,1544,Primary Checkings - 3102,Online scheduled transfer to SAV 9875 Confirmation# XXXXX42106,-$125.00,$3672.42,
11/1/2024,1545,Primary Checkings - 3102,Online scheduled transfer to SAV 7344 Confirmation# XXXXX42105,-$50.00,$3622.42,
11/1/2024,1546,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX42104,-$20.00,$3602.42,
11/4/2024,1547,Primary Checkings - 3102,PETS BEST INSURAN 11/02 PURCHASE XXXXX87237 NC,-$26.19,$3576.23,
11/4/2024,1548,Primary Checkings - 3102,NSM DBAMR.COOPER DES:NSM DBAMR ID:3838335 INDN:KENNETH *MEAD CO ID:XXXXX52701 WEB,-$1965.70,$1610.53,
11/4/2024,1549,Primary Checkings - 3102,MULVEY GARDENS C DES:Assn Dues ID:49893244 INDN:Kenneth Mead CO ID:HOAPAYMENT WEB,-$200.00,$1410.53,
11/4/2024,1550,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 11/04/24,-$0.81,$1409.72,
11/5/2024,1551,Primary Checkings - 3102,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Kenneth Mead CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXOEL64UWCN5ZCF\RMR*IK*etsy .com\",$8.15,$1417.87,
11/5/2024,1552,Primary Checkings - 3102,PP*FREE PLAY PINB 11/02 PURCHASE ROSEVILLE MI,-$20.00,$1397.87,
11/5/2024,1553,Primary Checkings - 3102,PP*FREE PLAY PINB 11/02 PURCHASE ROSEVILLE MI,-$10.00,$1387.87,
11/6/2024,1554,Primary Checkings - 3102,KY-IN RIVERLINK T 11/05 PURCHASE XXXXX85465 TX,-$5.22,$1382.65,
11/6/2024,1555,Primary Checkings - 3102,AMAZON MKTPL*JW78 11/05 PURCHASE XXXXX61072 WA,-$94.99,$1287.66,
11/6/2024,1556,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 11/06/24,-$0.79,$1286.87,
11/8/2024,1557,Primary Checkings - 3102,UNIVERSAL MANAGE DES:PAYROLL ID:XXXXXXXXXX3305 INDN:KENNETH MEAD CO ID:XXXXX13688 PPD,$1408.88,$2695.75,
11/8/2024,1558,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX47686,-$125.00,$2570.75,
11/8/2024,1559,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX47687,-$125.00,$2445.75,
11/8/2024,1560,Primary Checkings - 3102,Online scheduled transfer to SAV 9875 Confirmation# XXXXX47690,-$125.00,$2320.75,
11/8/2024,1561,Primary Checkings - 3102,Online scheduled transfer to SAV 7344 Confirmation# XXXXX47689,-$50.00,$2270.75,
11/8/2024,1562,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX47688,-$20.00,$2250.75,
11/12/2024,1563,Primary Checkings - 3102,DISCORD* NITROMON 11/09 PURCHASE XXXXX40085 CA,-$10.59,$2240.16,
11/12/2024,1564,Primary Checkings - 3102,Nintendo CA129914 11/12 PURCHASE XXXXX53700 WA,-$16.95,$2223.21,
11/12/2024,1565,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 11/12/24,-$0.46,$2222.75,
11/13/2024,1566,Primary Checkings - 3102,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Kenneth Mead CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXM2M64Y2G2EAX3\RMR*IK*etsy .com\",$8.16,$2230.91,
11/14/2024,1567,Primary Checkings - 3102,THE EDGE FIT ABC DES:CLUB FEES ID:XXXXX00102289 INDN:KENNETH MEAD CO ID:XXXXX02737 PPD PMT INFO: - THE EDGE FITNESS 888-827-9262,-$44.99,$2185.92,
11/15/2024,1568,Primary Checkings - 3102,UNIVERSAL MANAGE DES:PAYROLL ID:XXXXXXXXXX3305 INDN:KENNETH MEAD CO ID:XXXXX13688 PPD,$1408.88,$3594.80,
11/15/2024,1569,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX07404,-$125.00,$3469.80,
11/15/2024,1570,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX07405,-$125.00,$3344.80,
11/15/2024,1571,Primary Checkings - 3102,Online scheduled transfer to SAV 9875 Confirmation# XXXXX07408,-$125.00,$3219.80,
11/15/2024,1572,Primary Checkings - 3102,Online scheduled transfer to SAV 7344 Confirmation# XXXXX07407,-$50.00,$3169.80,
11/15/2024,1573,Primary Checkings - 3102,Online scheduled transfer to CHK 7139 Confirmation# XXXXX07406,-$20.00,$3149.80,
11/18/2024,1574,Primary Checkings - 3102,"GITHUB, INC. 11/15 PURCHASE XXXXX84820 CA",-$10.00,$3139.80,
11/18/2024,1575,Primary Checkings - 3102,APPLE.COM/BILL 11/17 PURCHASE XXXXX27753 CA,-$2.99,$3136.81,
11/18/2024,1576,Primary Checkings - 3102,Online Banking payment to CRD 5496 Confirmation# XXXXX95273,-$635.02,$2501.79,
11/18/2024,1577,Primary Checkings - 3102,DTE Energy DES:XXXXX7474 ID: INDN:neth Mead Kenneth Mead CO ID:XXXXX20792 PPD,-$69.24,$2432.55,
11/18/2024,1578,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 11/18/24,-$0.01,$2432.54,
11/19/2024,1579,Primary Checkings - 3102,"ETSY, INC. DES:PAYOUT ID:etsy INDN:Kenneth Mead CO ID:XXXXX12331 PPD PMT INFO:TRN*1*etsy**4VXM1M650HLDNCJ9\RMR*IK*etsy .com\",$8.16,$2440.70,
11/19/2024,1580,Primary Checkings - 3102,WL *STEAM PURCHAS 11/14 PURCHASE XXXXX22985 WA,-$10.59,$2430.11,
11/19/2024,1581,Primary Checkings - 3102,KEEP THE CHANGE TRANSFER TO ACCT 9875 FOR 11/19/24,-$0.41,$2429.70,
9/5/2023,1582,Spending - 7139,Online Banking transfer from CHK 3102 Confirmation# XXXXX61224,$300.00,$300.00,
9/5/2023,1583,Spending - 7139,Online Banking transfer to SAV 9875 Confirmation# XXXXX67795,-$200.00,$100.00,
9/8/2023,1584,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX74156,$125.00,$225.00,
9/8/2023,1585,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX74157,$125.00,$350.00,
9/8/2023,1586,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX74158,$20.00,$370.00,
9/15/2023,1587,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX33667,$125.00,$495.00,
9/15/2023,1588,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX33668,$125.00,$620.00,
9/15/2023,1589,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX33669,$20.00,$640.00,
9/22/2023,1590,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX41425,$125.00,$765.00,
9/22/2023,1591,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX41426,$125.00,$890.00,
9/22/2023,1592,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX41427,$20.00,$910.00,
9/29/2023,1593,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX36856,$125.00,$1035.00,
9/29/2023,1594,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX36857,$125.00,$1160.00,
9/29/2023,1595,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX36858,$20.00,$1180.00,
10/6/2023,1596,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX10249,$125.00,$1305.00,
10/6/2023,1597,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX10250,$125.00,$1430.00,
10/6/2023,1598,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX10251,$20.00,$1450.00,
10/12/2023,1599,Spending - 7139,Monthly Maintenance Fee,-$4.95,$1445.05,
10/13/2023,1600,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX72167,$125.00,$1570.05,
10/13/2023,1601,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX72168,$125.00,$1695.05,
10/13/2023,1602,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX72169,$20.00,$1715.05,
10/20/2023,1603,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX85916,$125.00,$1840.05,
10/20/2023,1604,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX85917,$125.00,$1965.05,
10/20/2023,1605,Spending - 7139,Online scheduled transfer from CHK 3102 Confirmation# XXXXX85918,$20.00,$1985.05,
10/23/2023,1606,Spending - 7139,NNT ETERNAL GA 10/23 PURCHASE WARREN MI,-$9.52,$1975.53,
10/24/2023,1607,Spending - 7139,BIGGBY COFFEE #67 10/23 PURCHASE STERLING HEIG MI,-$4.57,$1970.96,
10/24/2023,1608,Spending - 7139,NST BEST BUY # 10/24 PURCHASE ROSEVILLE MI,-$370.99,$1599.97,
10/24/2023,1609,Spending - 7139,Online Banking transfer to CHK 3102 Confirmation# XXXXX16148,-$389.00,$1210.97,
10/25/2023,1610,Spending - 7139,Online Banking transfer from CHK 3102 Confirmation# XXXXX61886,$300.00,$1510.97,
10/25/2023,1611,Spending - 7139,KIT CHEN THAI BY 10/23 PURCHASE WARREN MI,-$12.76,$1498.21,
10/25/2023,1612,Spending - 7139,MEIJER # 145 10/24 PURCHASE FRASER MI,-$34.31,$1463.90,
10/25/2023,1613,Spending - 7139,VETERINARY EMERGE 10/24 PURCHASE MADISON HEIGH MI,-$825.00,$638.90,
